travel_year,minor_lt16,preadult_16_17,adult_18plus,era,num_adults,num_minors,num_docs,num_docs_raw
1959,11,1,2,1,2.0,12.0,32.82381548165787,33
1956,2,0,2,1,2.0,2.0,19.802169521289876,20
1956,2,0,2,1,2.0,2.0,34.419204505273676,35
1956,2,0,2,1,2.0,2.0,45.237799142535906,46
1956,4,0,2,1,2.0,4.0,37.419950340187334,38
1956,3,1,3,1,3.0,4.0,48.40427105912865,49
1956,0,0,2,1,2.0,0.0,18.838748927802897,19
1956,4,0,2,1,2.0,4.0,18.728264873350177,19
1957,2,0,2,1,2.0,2.0,34.142994369141874,35
1957,1,0,1,1,1.0,1.0,26.711839757377824,27
1955,2,0,3,0,3.0,2.0,32.216153182167915,33
1955,2,0,2,0,2.0,2.0,24.619272488724782,25
1955,0,0,2,0,2.0,0.0,25.527451054985406,26
1955,8,0,2,0,2.0,8.0,35.382625098760656,36
1955,4,0,2,0,2.0,4.0,20.7103480875505,21
1955,1,2,3,0,3.0,3.0,29.43637545615969,30
1954,3,0,2,0,2.0,3.0,25.416967000532686,26
1955,0,0,1,0,1.0,0.0,13.800677851462552,14
1954,4,1,2,0,2.0,5.0,27.896228459770242,28
1956,0,0,2,1,2.0,0.0,34.419204505273676,35
1956,4,0,2,1,2.0,4.0,23.490125813558723,24
1956,3,0,2,1,2.0,3.0,21.83949476271656,22
1954,3,0,2,0,2.0,3.0,15.893245120115592,16
1958,0,0,1,1,1.0,0.0,16.967149768055293,17
1956,8,1,3,1,3.0,9.0,40.586422256780075,41
1957,0,0,1,1,1.0,0.0,15.04030858108133,15
1956,3,1,2,1,2.0,4.0,21.949978817169278,22
1956,2,0,2,1,2.0,2.0,27.620018323638444,28
1956,0,0,2,1,2.0,0.0,22.80291535620354,23
1956,2,0,2,1,2.0,2.0,19.857411548516236,20
1956,4,0,2,1,2.0,4.0,18.041054415994992,18
1956,0,0,2,1,2.0,0.0,21.949978817169278,22
1956,0,0,2,1,2.0,0.0,20.876074169229575,21
1960,7,0,2,1,2.0,7.0,21.949978817169278,22
1960,0,0,1,1,1.0,0.0,18.838748927802897,19
1956,0,0,1,1,1.0,0.0,17.764844279863198,18
1958,0,0,1,1,1.0,0.0,12.782015230749211,13
1960,2,0,2,1,2.0,2.0,21.7842527354902,22
1960,1,0,2,1,2.0,1.0,26.601355702925105,27
1960,0,0,2,1,2.0,0.0,25.416967000532686,26
1965,0,0,1,1,1.0,0.0,17.709602252636838,18
1965,0,0,1,1,1.0,0.0,17.764844279863198,18
1965,0,0,1,1,1.0,0.0,18.838748927802897,19
1955,4,0,2,0,2.0,4.0,26.656597730151464,27
1955,2,0,2,0,2.0,2.0,32.54760534552607,33
1955,1,0,2,0,2.0,1.0,31.47370069758637,32
1955,0,0,1,0,1.0,0.0,21.7842527354902,22
1955,2,0,2,0,2.0,2.0,18.728264873350177,19
1952,3,0,2,0,2.0,3.0,20.820832142003216,21
1952,0,0,1,0,1.0,0.0,17.65436022541048,18
1952,0,0,1,0,1.0,0.0,18.949232982255612,19
1952,2,1,2,0,2.0,3.0,13.911161905915272,14
1952,4,0,2,0,2.0,4.0,26.32514556679331,27
1952,4,0,2,0,2.0,4.0,26.32514556679331,27
1955,0,0,1,0,1.0,0.0,16.911907740828934,17
1955,0,0,2,0,2.0,0.0,32.768573454431504,33
1952,2,0,2,0,2.0,2.0,19.691685466837157,20
1953,4,0,3,0,3.0,4.0,34.419204505273676,35
1957,2,1,3,1,3.0,3.0,39.3467915271613,40
1958,2,0,2,1,2.0,2.0,22.69243130175082,23
1958,0,0,2,1,2.0,0.0,19.746927494063517,20
1956,0,0,2,1,2.0,0.0,17.13287584973437,17
1955,2,0,2,0,2.0,2.0,28.41771283544635,29
